Species,Quadrat (L),Quadrat (W),Excavated,Length,Width,Depth,Year
Pocketbook,9,13,N,11.3,7.4,4.3,2014
Pocketbook,75,2,N,11.3,7.4,4.3,2014
Pocketbook,86,18.5,N,11.6,7.1,4.3,2014
Three Ridge,15.5,16,N,11.6,7.6,4.3,2014
Three Ridge,54.5,8,N,11.6,7.2,4.3,2014
Three Ridge,27,13.5,N,11.8,7.8,4.3,2014
Three Ridge,81.5,16,N,11.9,7.2,4.3,2014
White Heelsplitter,69.5,2,N,12.1,8.5,4.3,2014
White Heelsplitter,42,13,N,12.5,8.5,4.3,2014
Three Ridge,60,8,N,12.6,8.4,4.3,2014
Black Sandshell,5,19,N,14.5,6.5,4.3,2014
Black Sandshell,21,10.5,N,15.2,6.6,4.3,2014
Pocketbook,76,10.5,N,10.5,6.4,4.4,2014
Pocketbook,54.5,8,N,10.6,6.4,4.4,2014
Three Ridge,26.5,21.5,N,10.6,7.1,4.4,2014
White Heelsplitter,98.5,13.5,N,10.6,7,4.4,2014
Three Ridge,54,21.5,N,10.7,6.9,4.4,2014
Three Ridge,37.5,16,N,10.8,7.1,4.4,2014
Pocketbook,65,5,N,11,7,4.4,2014
Pocketbook,71,13.5,N,11,6.4,4.4,2014
Pocketbook,64,7.5,N,11.1,7,4.4,2014
Three Ridge,91.5,18.5,N,11.2,7.4,4.4,2014
Pocketbook,32,16,N,11.4,6.6,4.4,2014
Pocketbook,53,18.5,N,11.5,6.6,4.4,2014
Pocketbook,43.5,13.5,N,11.6,7.2,4.4,2014
Pocketbook,42,18.5,N,11.7,7.2,4.4,2014
Three Ridge,25.5,13,N,11.9,8.5,4.4,2014
Three Ridge,76,16,N,12.4,7.7,4.4,2014
Three Ridge,26.5,10.5,N,12.5,8.7,4.4,2014
Three Ridge,93,19,N,13.3,8,4.4,2014
Black Sandshell,16,19,N,14.3,6,4.4,2014
Black Sandshell,27,19,N,14.3,6.5,4.4,2014
Black Sandshell,81.5,5,N,15,6.1,4.4,2014
Black Sandshell,87.5,2.5,N,16.1,7.2,4.4,2014
Pocketbook,87.5,2.5,N,10.3,6.3,4.5,2014
Pocketbook,65,5,N,10.5,7.1,4.5,2014
Pocketbook,76,10.5,Y,10.5,6.9,4.5,2014
Pocketbook,36.5,7.5,N,10.7,6.7,4.5,2014
Pocketbook,92.5,16,N,10.7,7,4.5,2014
Pocketbook,92.5,10.5,N,10.9,7.2,4.5,2014
Pocketbook,32,10.5,N,11,6.9,4.5,2014
Three Ridge,86,18.5,N,11.3,7.3,4.5,2014
Three Ridge,87.5,8,N,11.4,7.6,4.5,2014
Pocketbook,76,10.5,Y,11.4,7.2,4.5,2014
Pocketbook,58.5,13,N,11.6,6.7,4.5,2014
Three Ridge,81.5,16,N,11.6,7.4,4.5,2014
Three Ridge,82,19,N,11.7,7.8,4.5,2014
White Heelsplitter,87.5,8,N,11.7,8.3,4.5,2014
Three Ridge,54.5,19,N,11.9,6.9,4.5,2014
Pocketbook,42,2,N,12,7.5,4.5,2014
Pocketbook,20,8,N,12.2,7.5,4.5,2014
Three Ridge,26.5,16,N,12.8,9.2,4.5,2014
Three Ridge,75,7.5,N,13.2,9.2,4.5,2014
Black Sandshell,80.5,7.5,N,14.3,6.5,4.5,2014
Black Sandshell,76,10.5,N,14.5,6.4,4.5,2014
Black Sandshell,32,13,N,15.1,6.6,4.5,2014
Black Sandshell,21.5,19,N,15.3,6.7,4.5,2014
Black Sandshell,32,5,N,15.5,6.7,4.5,2014
Black Sandshell,21,21.5,N,15.8,6.5,4.5,2014
Pocketbook,32,5,Y,9.2,6.6,4.6,2014
Pocketbook,32.5,13.5,N,9.8,6.5,4.6,2014
Pocketbook,76,21.5,N,10,6.3,4.6,2014
Pocketbook,25.5,18.5,N,11.1,7.3,4.6,2014
Pocketbook,36.5,7.5,N,11.4,7.3,4.6,2014
Three Ridge,14.5,18.5,N,11.5,7.6,4.6,2014
Pocketbook,76,10.5,Y,12.5,8.1,4.6,2014
Three Ridge,38,19,N,12.9,7.5,4.6,2014
Three Ridge,21,21.5,N,13.9,8.7,4.6,2014
Pocketbook,76,16,N,10.7,6.7,4.7,2014
Pocketbook,71,13.5,N,11.4,7.2,4.7,2014
Pocketbook,82,8,N,11.4,8,4.7,2014
Pocketbook,59.5,21.5,N,11.5,6.8,4.7,2014
Pocketbook,31,18.5,N,11.8,7.6,4.7,2014
Pocketbook,47.5,18.5,N,11.9,7.7,4.7,2014
Pocketbook,87.5,19,Y,12.2,7.1,4.7,2014
Pocketbook,98.5,13.5,N,12.8,8.1,4.7,2014
Black Sandshell,54.5,19,N,14.3,6.8,4.7,2014
Black Sandshell,36.5,13,N,14.4,6.4,4.7,2014
Black Sandshell,32.5,13.5,N,15.7,6.8,4.7,2014
Pocketbook,93,19,N,9.7,5.9,4.8,2014
Fatmucket,10,16,N,10.9,7.1,4.8,2014
Pocketbook,76,10.5,N,10.9,6.6,4.8,2014
Pocketbook,27,7.5,N,11.3,7.4,4.8,2014
Three Ridge,70.5,10.5,N,11.7,8,4.8,2014
Pocketbook,25.5,13,N,11.8,7.4,4.8,2014
White Heelsplitter,81.5,16,N,12,7.9,4.8,2014
Three Ridge,21,21.5,N,12.1,8.8,4.8,2014
Pocketbook,20,13,N,12.5,7.3,4.8,2014
Three Ridge,53,7.5,N,12.5,8.5,4.8,2014
Black Sandshell,10,16,N,13.2,5.9,4.8,2014
Three Ridge,10,5,N,13.6,9.4,4.8,2014
Three Ridge,76,21.5,N,13.6,7.5,4.8,2014
White Heelsplitter,43.5,2.5,N,14.1,9.1,4.8,2014
Black Sandshell,5,19,N,15.5,6.8,4.8,2014
Black Sandshell,75,2,N,16.2,7.4,4.8,2014
Pocketbook,70.5,21.5,N,10.8,6.6,4.9,2014
Pocketbook,93,13.5,N,12,7.9,4.9,2014
Pocketbook,32,5,N,12.1,7.9,4.9,2014
Three Ridge,97,18.5,N,12.8,7.7,4.9,2014
Three Ridge,53,7.5,N,12.9,7.8,4.9,2014
Three Ridge,21,10.5,N,13,8.9,4.9,2014
Pocketbook,59.5,21.5,N,11,7.5,5,2014
Pocketbook,92.5,16,N,11.3,7.6,5,2014
Pocketbook,16,8,N,11.5,7.5,5,2014
Three Ridge,5,19,N,12.1,8.8,5,2014
Pocketbook,9,13,N,12.9,8.1,5,2014
Pocketbook,38,19,Y,13,8.2,5,2014
Pocketbook,10,5,N,11.8,7.9,5.1,2014
Pocketbook,92.5,10.5,N,11.8,7.7,5.1,2014
Pocketbook,42,13,N,12.2,7.9,5.1,2014
Pocketbook,20,8,N,11.5,7.6,5.2,2014
Pocketbook,71,8,N,12.2,7.5,5.2,2014
Pocketbook,21.5,8,N,12.6,6.8,5.2,2014
Pocketbook,69.5,13,N,12.7,8.4,5.2,2014
Pocketbook,93,13.5,N,12.3,7.6,5.3,2014
Pocketbook,75,13,N,12.5,8.2,5.3,2014
Pocketbook,64,7.5,N,12.6,7.9,5.3,2014
Pocketbook,16,13.5,N,12.9,7.8,5.3,2014
Three Ridge,65.6,13.5,N,13.5,9,5.3,2014
Three Ridge,20,18.5,N,13.8,8.4,5.3,2014
Pocketbook,71,19,N,10.9,6.8,5.4,2014
Fatmucket,38,8,N,11.4,6.6,5.4,2014
Three Ridge,54.5,13.5,N,13.6,8.4,5.4,2014
Pocketbook,98,10.5,N,11.9,7.7,5.5,2014
Pocketbook,21.5,8,Y,11.9,7.6,5.5,2014
Pocketbook,64,7.5,N,13.3,8.1,5.5,2014
Pocketbook,43,5,N,14.5,8.9,5.5,2014
Pocketbook,36.5,7.5,N,12.6,8.1,5.7,2014
Pocketbook,42,18.5,N,13.2,8.3,5.7,2014
Pocketbook,37.5,16,N,13.6,8.4,5.7,2014
Three Ridge,53,2,N,13.7,8.8,5.7,2014
Three Ridge,59.5,21.5,N,13.8,8.8,5.7,2014
Pocketbook,27,13.5,N,13,8.7,5.8,2014
Pocketbook,65.6,13.5,N,13,8.3,5.8,2014
Pocketbook,54.5,19,N,13.1,8,5.8,2014
Pocketbook,87,5,N,12.3,8.1,5.9,2014
